,Unnamed: 0,Track,Year,Closest Passage (km),Angle of Passage,close_x,close_y,Vm_max,Vm_rmin,Rm_max,Rm_rmin,Direction,U,V,Max Surge (m),pass_libh
43,43,44,1989,88.696154279654,311.5501740957548,-74.58699999999999,22.667,14.70280952,14.2243766,138.91,66.89,NE,0.9990000000000236,0.1859999999999999,0.590762,88.696154279654
44,44,45,1989,58.49742125085494,223.38537872812188,-75.5,22.903,14.63078736,7.6394934,120.31,84.77,NW,-0.6480000000000246,0.2839999999999989,0.517402,58.49742125085494
45,45,46,1989,37.1339380755652,356.7441682274632,-74.78300000000002,23.246,28.24812004,27.99089804,110.62,26.19,NW,-0.2090000000000031,0.3729999999999975,0.482585,37.1339380755652
46,46,47,1989,31.931750280873445,228.66418432073908,-75.30700000000002,23.049,32.960427079999995,14.47130972,120.33,49.1,NW,-0.2930000000000063,0.2259999999999991,0.402483,31.931750280873445
47,47,48,1989,48.34531061023159,353.80508121741013,-74.68400000000003,23.218,34.03561504,25.58330012,120.29,38.71,NE,0.0129999999999768,0.1559999999999988,0.673996,48.34531061023159
48,48,49,1989,13.5492767334644,358.122122552714,-74.995,23.261,46.02216024,17.89750676,134.33,54.27,NW,-0.0079999999999813,0.2979999999999982,0.510847,13.5492767334644
49,49,50,1989,99.07096674606598,255.9948955396112,-75.33300000000003,22.399,26.55045484,15.19667576,120.11,46.93,NW,-0.2970000000000254,0.0630000000000023,0.3487,99.07096674606598
50,50,51,1989,91.39837330062356,152.5947124581802,-75.84800000000001,23.644,24.68302312,4.995251240000001,120.05,114.24,NE,0.0720000000000027,0.139999999999997,0.355958,91.39837330062356
51,51,52,1989,51.72290334078375,101.26170371477971,-75.20800000000003,23.722,17.94895116,14.07518784,140.25,67.51,SE,0.287999999999954,-0.0009999999999976,0.608184,51.72290334078375
52,52,53,1989,49.30861885106849,233.6976241576733,-75.38,22.907,46.25366004,35.69726916,120.15,28.01,NW,-0.8020000000000209,0.189,0.326728,49.30861885106849
53,53,54,1989,92.47599128422304,223.93008435288323,-75.71699999999998,22.687,13.22635524,10.5975464,120.01,64.81,NW,-0.3859999999999672,0.4299999999999997,0.347378,92.47599128422304
54,54,55,1989,17.62210214474899,109.1197263299239,-75.16899999999998,23.415,16.40047472,15.53106436,120.26,45.99,SW,-0.5999999999999659,-0.0139999999999993,0.508837,17.62210214474899
55,55,56,1989,48.47549320017293,273.2817150516211,-75.09199999999998,22.829,29.79659648,4.69172928,118.85,118.65,NW,-0.3360000000000127,0.0180000000000006,0.601234,48.47549320017293
56,56,57,1989,39.28537617231169,310.53105774544883,-74.887,22.996,37.5801342,29.3747524,120.21,24.98,NW,-0.7509999999999764,0.2719999999999984,0.347644,39.28537617231169
57,57,58,1989,38.06150992800932,228.54685365750112,-75.344,23.008,32.33794984,23.61812404,133.24,41.8,NW,-0.13900000000001,0.1409999999999982,0.353254,38.06150992800932
58,58,59,1989,39.88670361160405,291.20922613422,-74.98700000000002,22.93,27.6770872,14.30668764,120.23,49.62,SW,-0.2320000000000277,-0.0130000000000016,0.360627,39.88670361160405
59,59,60,1989,14.680563068219534,69.6467708519399,-75.07100000000003,23.389,64.1511668,54.25840868,120.13,18.53,NW,-0.125,0.1269999999999989,1.758584,14.680563068219534
60,60,61,1989,63.04663202741344,252.2668574738898,-75.29000000000002,22.724,24.55955656,23.70557952,119.96,30.78,NW,-0.7580000000000382,0.347999999999999,0.40897,63.04663202741344
61,61,62,1989,36.05022995765743,168.27488798483503,-75.435,23.331,48.32686936,10.4946576,111.91,65.36,NE,0.40300000000002,0.4220000000000006,0.480525,36.05022995765743
62,62,63,1989,76.59394120294388,269.4187584085343,-75.12400000000002,22.575,76.523545,41.032053440000006,131.34,31.83,NW,-0.2470000000000141,0.0489999999999994,0.399098,76.59394120294388
63,63,64,1989,58.13009698942687,292.4515464560069,-74.91699999999997,22.781,23.60783516,16.26157484,139.37,59.29,SW,-0.1799999999999499,-0.0880000000000009,0.478474,58.13009698942687
64,64,65,1989,35.09864933298819,52.84018311058235,-74.92599999999999,23.517,15.5362088,13.18005528,120.25,53.46,NW,-0.6669999999999732,0.2010000000000005,0.424501,35.09864933298819
65,65,66,1989,22.67363501955393,15.328921727306025,-74.92000000000002,23.319,27.0854766,7.7681044,115.43,83.68,SE,0.2259999999999991,-0.1610000000000013,0.399907,22.67363501955393
66,66,67,1989,41.86598640901752,346.66379874448035,-74.75,23.178,29.74515208,15.1503758,120.06,47.07,NW,-0.1739999999999781,0.397000000000002,0.462284,41.86598640901752
67,67,68,1989,39.41062776713924,89.03171282045638,-75.11099999999999,23.62,20.08389376,13.92599908,120.06,50.85,NW,-0.6349999999999909,0.1159999999999996,0.363531,39.41062776713924
68,68,69,1989,15.979759854265271,286.54676081617424,-75.07600000000002,23.127,32.29164988,18.63830612,120.28,38.76,NE,0.11099999999999,0.1809999999999973,0.555565,15.979759854265271
69,69,70,1989,72.17159907470672,309.3204077140989,-74.70499999999998,22.762,32.31222764,27.296398640000003,117.98,36.37,NE,0.4360000000000354,0.1529999999999987,0.388363,72.17159907470672
70,70,71,1989,79.03231179713774,90.1609427775803,-75.11900000000003,23.977,40.98575348,19.30708332,120.11,37.48,NW,-0.6350000000000477,0.0339999999999989,0.473565,79.03231179713774
71,71,72,1989,24.026308330661088,266.29157184287817,-75.13099999999997,23.049,28.88088616,23.55124632,120.25,30.98,NW,-0.5649999999999977,0.0429999999999992,0.360575,24.026308330661088
72,72,73,1989,97.16913625735326,51.91261938154475,-74.577,23.954,68.49307415999999,59.62920404,126.19,22.02,NW,-0.4939999999999713,0.2600000000000015,0.478081,97.16913625735326
73,73,74,1989,32.18042961179894,32.31961650818139,-74.87200000000001,23.42,30.51167364,18.56113952,119.78,38.91,SW,-0.7479999999999905,-0.0299999999999975,0.426118,32.18042961179894
74,74,75,1989,23.98961419031294,241.5376457857628,-75.22000000000003,23.075,29.49307452,17.39849608,130.95,55.71,NW,-0.3560000000000514,0.1419999999999994,0.482898,23.98961419031294
75,75,76,1989,14.683080671302935,321.13725594925984,-75.01400000000001,23.182,35.44004716,7.34626032,120.25,87.35,NW,-0.1539999999999963,0.2689999999999983,0.463599,14.683080671302935
76,76,77,1989,29.34475574953755,258.43504348528984,-75.17000000000002,23.006,35.41432496,4.629996,120.09,119.63,NW,-0.5399999999999636,0.2089999999999996,0.447578,29.34475574953755
77,77,78,1989,101.87175805884652,33.984422219958006,-74.356,23.778,31.41195064,26.87455456,120.11,27.25,NW,-0.2110000000000127,0.2279999999999979,0.410128,101.87175805884652
78,78,79,1989,48.78762532651151,47.48955292199791,-74.82,23.589,16.7451522,13.77681032,120.08,51.36,NW,-0.4080000000000154,0.2029999999999994,0.511567,48.78762532651151
79,79,80,1989,71.63293646082008,243.7922983234875,-75.40199999999999,22.686,37.13771236,6.1476058,112.57,99.53,NW,-0.5360000000000014,0.0219999999999984,0.531902,71.63293646082008
80,80,81,1989,92.60487254999116,109.17336756712612,-75.39100000000002,24.053,18.50455068,15.01147592,120.19,47.46,NE,0.5019999999999527,0.3350000000000008,0.587728,92.60487254999116
81,81,82,1989,70.92630746062966,19.852871654373494,-74.51600000000002,23.482,17.66086252,4.629996,120.12,119.63,NE,0.0680000000000404,0.0040000000000013,0.458868,70.92630746062966
82,82,83,1989,89.59618567773987,237.13682445529216,-75.555,22.587,39.09259956,4.59398492,120.16,120.16,NW,-0.1680000000000063,0.1029999999999979,0.381661,89.59618567773987
83,83,84,1989,90.72659539517628,283.73021550831663,-74.923,22.471,23.77245724,10.74159072,120.16,64.07,SW,-0.3519999999999754,-0.1529999999999987,0.484781,90.72659539517628
84,84,85,1989,30.38015452561241,223.96375523074565,-75.31400000000002,23.075,18.4685396,9.26513644,120.29,72.62,NW,-0.3120000000000118,0.1069999999999993,0.337693,30.38015452561241
85,85,86,1989,19.29389470791213,111.2505055071341,-75.18,23.427,24.45152332,7.8195488,118.66,83.25,NW,-0.3100000000000023,0.1069999999999993,0.404503,19.29389470791213
86,86,87,1990,19.061321281592537,327.6055773543883,-74.97199999999998,23.173,38.51127784,17.557973720000003,120.18,41.01,NW,-0.2069999999999936,0.6509999999999998,0.44,19.061321281592537
87,87,88,1990,94.68813995427244,253.5194899945697,-75.35899999999998,22.447,14.28610988,14.0957656,120.02,50.29,NW,-0.6569999999999823,0.0199999999999995,0.456025,94.68813995427244
88,88,89,1990,8.15831122230643,123.9062769884493,-75.15800000000002,23.326,26.96201004,23.08824672,119.99,31.57,NW,-0.5579999999999927,0.3640000000000007,0.386354,8.15831122230643
89,89,90,1990,101.2905258452124,29.90842732140557,-74.32600000000002,23.72,33.96359288,30.10526288,120.27,24.39,NW,-0.0500000000000113,0.0990000000000002,0.464168,101.2905258452124
90,90,91,1990,41.83286498675317,127.99498859910034,-75.34899999999999,23.562,31.9984168,17.9540956,134.54,54.12,SW,-0.4010000000000104,-0.0569999999999986,0.493387,41.83286498675317
91,91,92,1990,33.72354643271919,170.90972307917707,-75.41699999999997,23.313,21.90502552,14.208943280000002,135.89,66.94,NW,-0.4799999999999613,0.3379999999999974,0.441488,33.72354643271919
92,92,93,1990,42.930604293441526,287.91962864282624,-74.99799999999999,22.897,63.23031204,42.40047448,139.9,38.91,NE,0.0389999999999872,0.014999999999997,0.834777,42.930604293441526
93,93,94,1990,13.405289441114707,25.504139486808874,-75.00799999999998,23.317,24.37435672,14.31697652,113.58,49.58,SW,-0.5819999999999936,-0.027000000000001,0.397414,13.405289441114707
